 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
 
 rod_temps    9.0184812610079259     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
 
 rod_temps    9.1184812610079238     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
Temperature ,  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000  554.000000 
